year,catch,cpue
1995,3468,9.279187817
1996,3421,7.661912752
1997,3867,8.06446281
1998,3540,6.868488471
1999,3491,6.556006494
2000,3778,8.573180703
2001,3852,8.360738255
2002,3445,8.106988783
2003,3530,7.908759124
2004,3838,11.27959927
2005,3769,11.72983114
2006,4246,12.09491194
2007,5316,16.23349754
2008,5551,16.25389105
2009,5662,17.29440154
2010,5555.21632,17.4272997
2011,6157.6027,18.73895582
2012,5799.682065,17.48571429
2013,5454.016217,18.42121524
2014,5636.708867,20.80714286
2015,4978.507862,19.27191235
2016,4557.037353,18.85162602
2017,4453.312076,19.64094319
